date,price
09/2016,1326.0
10/2016,1266.6
11/2016,1236.0
12/2016,1151.4
01/2017,1192.6
02/2017,1234.4
03/2017,1231.1
04/2017,1265.6
05/2017,1245.0
06/2017,1260.3
07/2017,1236.2
08/2017,1282.3
09/2017,1315.0
10/2017,1279.5
11/2017,1282.3
12/2017,1261.3
01/2018,1331.7
02/2018,1331.5
03/2018,1324.7
04/2018,1334.7
05/2018,1303.0
06/2018,1281.6
07/2018,1238.5
08/2018,1201.3
09/2018,1198.5
10/2018,1215.4
11/2018,1221.0
12/2018,1247.9
01/2019,1291.8
02/2019,1320.1
03/2019,1300.9
04/2019,1286.5
05/2019,1284.0
06/2019,1359.0
07/2019,1413.0
08/2019,1498.8
09/2019,1511.3
10/2019,1494.8
11/2019,1470.0
12/2019,1476.0
01/2020,1560.7
02/2020,1597.1
03/2020,1591.9
04/2020,1682.9
05/2020,1716.4
06/2020,1732.2
07/2020,1843.3
08/2020,1968.6
09/2020,1922.2
10/2020,1900.3
11/2020,1863.5
12/2020,1856.0
01/2021,1867.0
02/2021,1808.2
03/2021,1718.2
04/2021,1761.7
05/2021,1853.2
06/2021,1834.6
07/2021,1807.1
08/2021,1784.0
09/2021,1777.3
10/2021,1776.9
11/2021,1820.2
12/2021,1786.7
01/2022,1816.8
02/2022,1856.3
03/2022,1947.8
04/2022,1933.9
05/2022,1848.3
06/2022,1833.8
07/2022,1736.4
08/2022,1765.7
09/2022,1683.0
10/2022,1664.5
11/2022,1726.5
12/2022,1796.7
01/2023,1898.6
02/2023,1854.5
03/2023,1912.7
04/2023,2000.4
05/2023,1990.2
06/2023,1942.9
07/2023,1948.9
08/2023,1920.0
09/2023,1917.0
10/2023,1913.0
11/2023,1985.3
12/2023,2029.3
01/2024,2034.0
02/2024,2023.2
03/2024,2158.0
04/2024,2335.5
05/2024,2352.1
06/2024,2326.3
07/2024,2395.3
08/2024,2468.0
09/2024,2567.1
10/2024,2690.1
11/2024,2650.7
12/2024,2644.1
01/2025,2709.7
02/2025,2894.7
03/2025,2983.3
04/2025,3207.5
05/2025,3278.0
06/2025,3352.0
07/2025,3338.3
08/2025,3363.0
09/2025,3665.2
10/2025,4053.3
